"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_v3.x","","","","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"C1","1","100n","","","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"C2","1","Cap_Electrolytic","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C3,C4","2","10n","","","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"D1,D2","2","BAT85","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/BAT85.pdf"
"J1","1","Clock in","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J2","1","Clock Out","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J3","1","Mono_Jack","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J4","1","Conn_01x07_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"J5","1","Ch1","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J6","1","Ch2","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J7","1","Ch3","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J8","1","Ch4","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J9","1","Ch5","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J10","1","Ch6","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J11","1","Conn_01x02_Socket","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"R1,R2","2","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3,R4,R5,R6,R7,R8","6","470R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"SW1","1","RotaryEncoder_Switch_MP","","","","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles","~"
"SW2","1","SW_Omron_B3FS","","","","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-107x","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf"
